filename	tags	description
icon_AI-Нейро.png	нейро, AI, технологии, онлайн, иконка	Иконка: нейро / AI технологии
icon_VIP.png	vip, премиум, статус, эксклюзив, иконка	Иконка VIP-доступа
icon_Активация.png	активация, старт, запуск, иконка	Иконка активации/старта
icon_Блокировка.png	блокировка, ограничение, стоп, запрет, иконка	Иконка блокировки
icon_Бонус.png	бонус, подарок, дополнительно, иконка	Иконка бонуса
icon_Вопрос ответ.png	вопрос, ответ, q&a, помощь, иконка	Иконка Q&A / вопрос-ответ
icon_Вопрос.png	вопрос, непонимание, помощь, иконка	Иконка вопроса
icon_Время.png	время, часы, дедлайн, ограничено, иконка	Иконка времени/часов
icon_Гарантия возврата.png	гарантия, возврат, безопасность, иконка	Иконка гарантии возврата
icon_Домашнее задание.png	домашнее задание, практика, задание, иконка	Иконка домашнего задания
icon_Доп.модуль.png	дополнительный модуль, бонус, расширение, иконка	Иконка доп. модуля
icon_Доступ к записям.png	доступ, записи, архив, видео, иконка	Иконка доступа к записям
icon_Доступ_Премиум.png	премиум доступ, vip, расширенный, иконка	Иконка премиум-доступа
icon_Закрытый клуб.png	клуб, закрытый, комьюнити, участие, иконка	Иконка закрытого клуба
icon_Кармический узел.png	карма, узел, астрология, иконка	Иконка кармического узла
icon_Книга.png	книга, материалы, методичка, обучение, иконка	Иконка книги/учебника
icon_Куратор.png	куратор, поддержка, наставник, сопровождение, иконка	Иконка куратора
icon_Лунные фазы.png	луна, фазы, лунный календарь, астрология, иконка	Иконка лунных фаз
icon_Методичка.png	методичка, материалы, гайд, обучение, иконка	Иконка методички
icon_Настройки.png	настройки, конфигурация, инструменты, иконка	Иконка настроек
icon_Пдф.png	pdf, документ, материал, скачать, иконка	Иконка PDF-документа
icon_Планеты.png	планеты, астрология, иконка	Иконка планет
icon_Поддержка.png	поддержка, помощь, сопровождение, иконка	Иконка поддержки
icon_Проверка домашнего задания.png	проверка, домашнее задание, обратная связь, иконка	Иконка проверки д/з
icon_Прямой эфир.png	прямой эфир, онлайн, live, эфир, иконка	Иконка прямого эфира
icon_Рост.png	рост, развитие, прогресс, иконка	Иконка роста
icon_Сертификат.png	сертификат, диплом, достижение, иконка	Иконка сертификата
icon_Снижение.png	снижение, скидка, цена, иконка	Иконка снижения/скидки
icon_Сообщение.png	сообщение, чат, коммуникация, иконка	Иконка сообщения
icon_Финансы.png	финансы, деньги, иконка	Иконка финансов
icon_Чат.png	чат, общение, сообщения, иконка	Иконка чата
icon_Магнит клиентов.png	магнит, клиенты, привлечение, иконка	Иконка магнита клиентов
bonus_1.png	опция, бонус, вариант, иконка	Иконка опции/варианта №1
bonus_Гарантия-1.png	гарантия, безопасность, защита, иконка	Иконка гарантии (вариант 1)
bonus_Гарантия-2.png	гарантия, безопасность, альтернатива, иконка	Иконка гарантии (вариант 2)
bonus_Магнит клиентов.png	магнит, клиенты, привлечение, бонус	Бонус: магнит клиентов
bonus_НейроКуратор.png	нейро куратор, ai, поддержка, бонус	Бонус: нейро-куратор
bonus_Нейроастролог.png	нейроастролог, ai, астрология, бонус	Бонус: нейроастролог
bonus_Чат.png	чат, общение, бонус	Бонус: чат
bonus_Эфиры.png	эфиры, прямой эфир, live, бонус	Бонус: эфиры
planet_Su.png	Солнце, планета, астрология, джйотиш, su	Планета Солнце (Su) — ведическая астрология
planet_Mo.png	Луна, планета, астрология, джйотиш, mo, луна	Планета Луна (Mo) — ведическая астрология
planet_Ma.png	Марс, планета, астрология, джйотиш, ma	Планета Марс (Ma) — ведическая астрология
planet_Me.png	Меркурий, планета, астрология, джйотиш, me	Планета Меркурий (Me) — ведическая астрология
planet_Ju.png	Юпитер, планета, астрология, джйотиш, ju	Планета Юпитер (Ju) — ведическая астрология
planet_Ve.png	Венера, планета, астрология, джйотиш, ve	Планета Венера (Ve) — ведическая астрология
planet_Sa.png	Сатурн, планета, астрология, джйотиш, sa	Планета Сатурн (Sa) — ведическая астрология
planet_Ra.png	Раху, планета, астрология, джйотиш, ra, северный узел	Планета Раху (Ra) — ведическая астрология
planet_Ke.png	Кету, планета, астрология, джйотиш, ke, южный узел	Планета Кету (Ke) — ведическая астрология
sign_Aries.png	Овен, знак зодиака, астрология, Aries	Знак Зодиака Овен (Aries)
sign_Taurus.png	Телец, знак зодиака, астрология, Taurus	Знак Зодиака Телец (Taurus)
sign_Gemini.png	Близнецы, знак зодиака, астрология, Gemini	Знак Зодиака Близнецы (Gemini)
sign_Cancer.png	Рак, знак зодиака, астрология, Cancer	Знак Зодиака Рак (Cancer)
sign_Leo.png	Лев, знак зодиака, астрология, Leo	Знак Зодиака Лев (Leo)
sign_Virgo.png	Дева, знак зодиака, астрология, Virgo	Знак Зодиака Дева (Virgo)
sign_Libra.png	Весы, знак зодиака, астрология, Libra	Знак Зодиака Весы (Libra)
sign_Scorpio.png	Скорпион, знак зодиака, астрология, Scorpio	Знак Зодиака Скорпион (Scorpio)
sign_Sagittarius.png	Стрелец, знак зодиака, астрология, Sagittarius	Знак Зодиака Стрелец (Sagittarius)
sign_Capricorn.png	Козерог, знак зодиака, астрология, Capricorn	Знак Зодиака Козерог (Capricorn)
sign_Aquarius.png	Водолей, знак зодиака, астрология, Aquarius	Знак Зодиака Водолей (Aquarius)
sign_Pisces.png	Рыбы, знак зодиака, астрология, Pisces	Знак Зодиака Рыбы (Pisces)
sign_r_Aries.png	Овен, знак зодиака, астрология, круглая иконка	Знак Зодиака Овен — круглая иконка
sign_r_Taurus.png	Телец, знак зодиака, астрология, круглая иконка	Знак Зодиака Телец — круглая иконка
sign_r_Gemini.png	Близнецы, знак зодиака, астрология, круглая иконка	Знак Зодиака Близнецы — круглая иконка
sign_r_Cancer.png	Рак, знак зодиака, астрология, круглая иконка	Знак Зодиака Рак — круглая иконка
sign_r_Leo.png	Лев, знак зодиака, астрология, круглая иконка	Знак Зодиака Лев — круглая иконка
sign_r_Virgo.png	Дева, знак зодиака, астрология, круглая иконка	Знак Зодиака Дева — круглая иконка
sign_r_Libra.png	Весы, знак зодиака, астрология, круглая иконка	Знак Зодиака Весы — круглая иконка
sign_r_Scorpio.png	Скорпион, знак зодиака, астрология, круглая иконка	Знак Зодиака Скорпион — круглая иконка
sign_r_Sagittarius.png	Стрелец, знак зодиака, астрология, круглая иконка	Знак Зодиака Стрелец — круглая иконка
sign_r_Capricorn.png	Козерог, знак зодиака, астрология, круглая иконка	Знак Зодиака Козерог — круглая иконка
sign_r_Aquarius.png	Водолей, знак зодиака, астрология, круглая иконка	Знак Зодиака Водолей — круглая иконка
sign_r_Pisces.png	Рыбы, знак зодиака, астрология, круглая иконка	Знак Зодиака Рыбы — круглая иконка
house_01.png	1 дом, дом лагна, изменения, духовный поиск, начало, астрология	1-й дом (Лагна): Изменения, Духовный поиск, Самопознание
house_02.png	2 дом, финансы, деньги, материальные ценности, семья, астрология	2-й дом: Финансы, Материальные ценности, Семья
house_03.png	3 дом, таланты, обучение, короткие путешествия, коммуникации, астрология	3-й дом: Таланты, Обучение, Краткие путешествия
house_04.png	4 дом, дом, семья, корни, недвижимость, астрология	4-й дом: Дом, Семья, Корни
house_05.png	5 дом, дети, творчество, романтика, астрология	5-й дом: Дети, Творчество, Романтика
house_06.png	6 дом, здоровье, исцеление, психосоматика, работа, астрология	6-й дом: Здоровье, Исцеление, Психосоматика
house_07.png	7 дом, партнёрство, отношения, брак, астрология	7-й дом: Партнёрство, Отношения, Брак
house_08.png	8 дом, трансформация, интуиция, кризис, астрология	8-й дом: Трансформация, Интуиция
house_09.png	9 дом, удача, расширение, духовность, астрология	9-й дом: Удача, Расширение, Духовность
house_10.png	10 дом, карьера, статус, профессия, астрология	10-й дом: Карьера, Статус
house_11.png	11 дом, положение, друзья, доходы, материальные приобретения, астрология	11-й дом: Положение, Материальные Доходы, Друзья
house_12.png	12 дом, путешествия, священные места, внутренняя трансформация, астрология	12-й дом: Путешествия, Духовная Трансформация
house_r_01.png	1 дом, изменения, духовный поиск, круглая иконка, астрология	1-й дом — круглая иконка
house_r_02.png	2 дом, финансы, деньги, круглая иконка, астрология	2-й дом — круглая иконка
house_r_03.png	3 дом, таланты, обучение, круглая иконка, астрология	3-й дом — круглая иконка
house_r_04.png	4 дом, дом, семья, круглая иконка, астрология	4-й дом — круглая иконка
house_r_05.png	5 дом, дети, творчество, круглая иконка, астрология	5-й дом — круглая иконка
house_r_06.png	6 дом, здоровье, круглая иконка, астрология	6-й дом — круглая иконка
house_r_07.png	7 дом, партнёрство, отношения, круглая иконка, астрология	7-й дом — круглая иконка
house_r_08.png	8 дом, трансформация, круглая иконка, астрология	8-й дом — круглая иконка
house_r_09.png	9 дом, удача, духовность, круглая иконка, астрология	9-й дом — круглая иконка
house_r_10.png	10 дом, карьера, статус, круглая иконка, астрология	10-й дом — круглая иконка
house_r_11.png	11 дом, друзья, доходы, круглая иконка, астрология	11-й дом — круглая иконка
house_r_12.png	12 дом, трансформация, духовность, круглая иконка, астрология	12-й дом — круглая иконка
module_Базовая астрология.png	базовая астрология, обучение, модуль	Модуль: Базовая астрология
module_Карма 2.png	карма, модуль, вариант 2	Модуль: Карма (вариант 2)
module_Карма.png	карма, кармический, модуль	Модуль: Карма
module_Куратор2.png	куратор, поддержка, модуль, вариант 2	Модуль: Куратор (вариант 2)
module_Прогнозы-1.png	прогнозы, астрология, модуль, вариант 1	Модуль: Прогнозы (вариант 1)
module_Прогнозы-2.png	прогнозы, астрология, модуль, вариант 2	Модуль: Прогнозы (вариант 2)
module_Энергия.png	энергия, ресурс, сила, модуль	Модуль: Энергия
module_Деньги.png	деньги, финансы, заработок, модуль	Модуль: Деньги / Финансы
module_Любовь.png	любовь, отношения, романтика, модуль	Модуль: Любовь
module_Предназначение.png	предназначение, призвание, цель, модуль	Модуль: Предназначение
module_Семья.png	семья, родные, дом, модуль	Модуль: Семья
sfera_Астрология.png	астрология, сфера, обучение, курс	Сфера: Астрология
sfera_Деньги.png	деньги, финансы, заработок, сфера	Сфера: Деньги / Финансы
sfera_Дом.png	дом, недвижимость, жильё, сфера	Сфера: Дом
sfera_Защита.png	защита, безопасность, сфера	Сфера: Защита
sfera_Карма.png	карма, кармический, духовность, сфера	Сфера: Карма
sfera_Карьера.png	карьера, работа, профессия, реализация, сфера	Сфера: Карьера
sfera_Ключ.png	ключ, решение, доступ, сфера	Сфера: Ключ (решение)
sfera_Куратор.png	куратор, поддержка, наставник, сфера	Сфера: Куратор
sfera_Любовь.png	любовь, отношения, романтика, сфера	Сфера: Любовь
sfera_Обучение.png	обучение, учёба, курс, сфера	Сфера: Обучение
sfera_Предназначение.png	предназначение, призвание, цель, сфера	Сфера: Предназначение
sfera_Прогнозы.png	прогнозы, будущее, астрология, сфера	Сфера: Прогнозы
sfera_Путешествие.png	путешествие, свобода, поездка, сфера	Сфера: Путешествия
sfera_Рост дохода.png	рост дохода, финансы, заработок, сфера	Сфера: Рост дохода
sfera_Саморазвитие.png	саморазвитие, личностный рост, трансформация, сфера	Сфера: Саморазвитие
sfera_Семья.png	семья, родные, отношения, сфера	Сфера: Семья
sfera_Цель.png	цель, миссия, задача, сфера	Сфера: Цель
sfera_Энергия.png	энергия, сила, ресурс, сфера	Сфера: Энергия
image1.png	пара, любовь, отношения, семья, счастье	Пара обнимается, сердечки
image2.png	грусть, разочарование, боль, расставание, одиночество	Девушка грустит, разбитое сердце
image3.png	конфликт, ссора, семья, стресс, проблемы, дети	Родители ругаются, ребёнок страдает
image5.png	перегрузка, многозадачность, усталость, баланс, работа+семья	Женщина несёт ребёнка, портфель, коробки
image6.png	деньги, заработок, доход, рубли, богатство, финансы	Пачки денег с рублями
image7.png	ссора, конфликт, семья, дети, плач, развод	Родители ругаются, ребёнок плачет
image8.png	карта, путь, навигация, цель, маршрут, направление	Карта с меткой
image9.png	расходы, потеря_денег, копилка, финансовые_проблемы	Разбитая копилка, монеты вылетают
image10.png	заработок, счастье, деньги, успех, радость	Девушка обнимает мешок с деньгами
image11.png	быт, несправедливость, муж_диван, уборка, рутина	Женщина моет пол, муж лежит на диване
image14.png	срыв, крик, дети, стресс, вина, материнство	Мама кричит на детей
image15.png	грусть, слёзы, одиночество, печаль	Девушка грустит, плачет
image16.png	крик, дети, стресс, материнство, срыв	Мама кричит, дети закрывают уши
image17.png	пара, отношения, дружба, поддержка, гармония	Пара обнимается, улыбаются
image19.png	быт, несправедливость, муж_кресло, уборка, рутина	Жена моет пол, муж в кресле с пивом
image20.png	выгорание, усталость, работа, ноутбук, burnout	Уставшая за ноутбуком, пар
image21.png	растерянность, неуверенность, вопрос, не_знаю	Девушка разводит руками, грустная
image28.png	радость, успех, победа, руки_вверх, достижение	Девушка с поднятыми руками, победа
image29.png	устала, выгорание, голова_на_столе, burnout	Голова на столе, усталость
image30.png	тревога, часы, время, дедлайн, стресс	Смотрит на часы, нервничает
image31.png	медитация, спокойствие, дзен, баланс	Сидит в позе лотоса
image32.png	сила, мускулы, уверенность, энергия	Показывает бицепс
image33.png	денежный_дождь, богатство, успех, изобилие	Деньги падают сверху
image34.png	деньги_в_руках, купюры, заработок, финансы	Держит веер купюр
image35.png	компьютер, работа, онлайн, фриланс	За компьютером, серьёзная
image36.png	ноутбук, довольная, онлайн, работа_из_дома	За ноутбуком, улыбается
image37.png	думает, облако_мыслей, размышление, план	Облако мыслей над головой
image38.png	звёздочки, магия, волшебство, мечта	Звёздочки вокруг, счастливая
image39.png	мама_дочка, семья, связь, передача	Мама и дочка держатся за руки
image40.png	обучение, учитель, ученик, передача_знаний	Учитель объясняет ученице
image41.png	консультация, клиент, помощь, 1на1	Две фигуры, диалог
image42.png	две_подруги, общение, разговор, поддержка	Две подруги разговаривают
image43.png	стоп, отказ, границы, нет, защита	Жест стоп рукой
image44.png	лабиринт, потерялась, путаница, не_знаю_куда, тупик	Смотрит на лабиринт, растерянность
image45.png	мечты, звёзды, счастье, любовь, предназначение	Смотрит на звёзды, мечтает
image46.png	ожидание, время, нетерпение, часы, прогресс	Смотрит на часы, ждёт
image47.png	рука_вверх, вопрос, внимание, отвечает	Поднятая рука, хочет сказать
image48.png	психолог, консультация, терапия, клиент, помощь	Психолог и клиент на кушетке
image49.png	учитель, указка, недовольство, объяснение, грусть	Учитель с указкой, недовольная
image50.png	зеркало, самопознание, отражение, радость, любовь_к_себе	Смотрит в зеркало, улыбается
image51.png	стоп, отказ, усталость, грусть, нет, границы	Жест стоп, уставшая
image52.png	стоп, хватит, отказ, защита, не_хочу	Жест стоп ладонью, грустная
image53.png	дом, мечта, достижение, стабильность, свой_дом	Показывает на дом, радость
image54.png	вопросы, обучение, непонимание, книги, сложно	За столом с книгами, вопросы
image55.png	сложно, обучение, вопросы, не_понимаю, стресс	За партой, вопросы над головой
image56.png	злость, гнев, недовольство, раздражение, руки_в_боки	Руки в боки, злится
image57.png	деньги, проблемы, рубли, нехватка, финансы, грусть	Думает о деньгах, грустит
image58.png	путь, из_А_в_Б, маршрут, движение, план, цель	Показывает путь A→B
image59.png	размышление, сомнение, думает, неуверенность, выбор	Рука у подбородка, думает
image60.png	Сатурн, планета, астрология, объяснение, радость	Показывает на Сатурн, улыбается
image61.png	Сатурн, планета, астрология, наблюдение, спокойствие	Смотрит на Сатурн
image62.png	плачет, слёзы, грусть, боль, расстройство	Плачет, слёзы текут
image63.png	грусть, понурость, печаль, одиночество, ребёнок	Грустная девочка с хвостиком, понурая
image64.png	бессонница, усталость, кровать, тревога, сон	Уставшая смотрит на кровать, путаница над головой
image65.png	рутина, будильник, работа, усталость, день_сурка	От кровати к ноутбуку, часы, книги
image66.png	возражения, барьеры, не_справлюсь, дорого, нет_времени, муж_против	Девушка с облаками возражений
image67.png	замкнутый_круг, симптомы, проблемы, повторение	Девушка в круге симптомов, стрелки по кругу
image68.jpg	книги, обучение, знания, много_книг, радость	Девушка рядом с высокой стопкой книг, улыбается
image69.png	точка_А, точка_Б, трансформация, путь, движение	Идёт от точки А к точке Б
image70.png	спокойствие, умиротворение, покой, дзен, гармония	Девушка со сложенными руками, закрытые глаза
image71.png	симптомы, причина, корень_проблемы, анализ	Симптомы вокруг, одно облако "Причина"
image72.png	вопрос, сомнение, думает, неуверенность	Рука у подбородка, вопросительный знак
image73.png	учёба, непонимание, вопросы, стресс, за_партой	За столом с тетрадью, много вопросов
image75.png	подарок, радость, распаковка, сюрприз, бонус	Открывает подарочную коробку с бантом
image76.png	профессии, директор, психолог, учитель, карьера	Три профессии: директор, психолог, учитель
image77.png	профессии, айтишник, нумеролог, парикмахер, карьера	Три профессии: айтишник, нумеролог, парикмахер
image78.png	профессии, айтишник, госслужащая, спортсменка, карьера	Три профессии: айтишник, госслужащая, спортсменка
image79.png	тетрадь, ручка, запись, практика, обучение	Ручка пишет в тетради
image80.png	за_партой, пишет, обучение, прилежность, ученица	Ученица за столом пишет
image81.png	спикер, учитель, доска, объяснение, презентация	Сидит на коробке, показывает на доску
image82.png	тяжесть, Сизиф, бремя, подъём, усталость, труд	Несёт тяжёлый камень вверх по склону
image83.png	работа, деньги, грусть, рубли, нелюбимая_работа, ноутбук	Уставшая за ноутбуком, думает о рублях
image84.jpg	идеи, телефон, онлайн, информация, лампочки	Девушка с телефоном, вокруг лампочки и иконки
image85.png	дата_рождения, нумерология, расчёт, цифры	Держит табличку с датой 26+03+2009
image86.png	натальная_карта, астрология, карта, ведическая, радость	Рядом с ведической картой, улыбается
image87.png	натальная_карта, показывает, астрология, объяснение	Держит и показывает ведическую карту
image88.png	боль_ЦА, выгорание, рутина, бессмысленность, день_сурка	Мысли: работаю на износ, день сурка, зачем живу
image89.png	портал, выбор, неизвестность, магия, сомнение	Смотрит на магический портал со звёздами
image90.png	смущение, тревога, нерешительность, волнение	Рука у лица, глаза вверх, смущена
image97.png	указывает, направление, показывает, цель, вправо	Показывает пальцем вправо, улыбается
image99.png	мечты, желания, шарики, призвание, свобода, помощь	С шариками: помогать людям, свободный график, призвание
image108.png	перекрёсток, выбор, не_знаю_куда, вопрос, пути	На перекрёстке 4 путей, вопрос над головой
image109.png	Сатурн, планета, грусть, ограничения, астрология	Грустит, смотрит на Сатурн
image117.png	день_сурка, рутина, круг, кровать, работа, будильник	Замкнутый цикл: кровать-будильник-работа
image129.jpg	диван, отдых, ТВ, телевизор, попкорн, комфорт	На диване с пультом и попкорном смотрит ТВ
image137.png	натальная_карта, непонимание, сложно, астрология, вопрос	Озадачена, смотрит на ведическую карту
image100.gif	книга, планета, астрология, обучение, gif	Анимированная иконка книги с символом планеты на обложке.
image101.gif	звёзды, рейтинг, оценка, успех, пять звёзд, gif	Пять красных звёзд — иконка высокого рейтинга.
image102.gif	трибуна, кафедра, выступление, спикер, обучение, gif	Иконка трибуны с микрофоном для выступлений спикера.
image103.gif	планета, астрология, gif	Анимированная иконка — астрологический символ.
image104.gif	планета, книга, астрология, знаки зодиака, обучение, gif	Планета с кольцом над раскрытой книгой с астрологическими символами.
image105.gif	забор, ограждение, граница, недвижимость, gif	Иконка деревянного забора из трёх секций.
image106.gif	барьер, ограждение, стоп, предупреждение, блокировка, gif	Дорожный барьер с оранжевыми полосами и красным сигнальным фонарём.
image107.gif	человек, фигура, стикмен, личность, gif	Схематичная фигура человека в полный рост.
image110.gif	батарея, энергия, низкий заряд, усталость, gif	Иконка батареи с низким уровнем заряда и молнией.
image111.gif	козерог, знак зодиака, астрология, gif	Анимированный символ знака зодиака Козерог.
image112.gif	рак, знак зодиака, астрология, gif	Анимированный символ знака зодиака Рак.
image113.gif	батарея, зарядка, энергия, электричество, подключение, gif	Иконка батареи с кабелем и вилкой для зарядки.
image114.gif	подарок, скидка, деньги, бонус, акция, gif	Подарочная коробка рядом с монетой и значком скидки.
